Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,a,I,.a.i64,i,i,1.4671,a,a
2,a,I,V,V,i,1.2856,a,a
2,a,I,V7,V,i,1.2856,a,a
3,a,I,i64,i,i,1.2866,a,a
3,a,I,V7,V,i,1.2866,a,a
4,a,I,i64,i,I,1.9267,A,a
4,a,I,V7,V,I,1.9267,A,a
5,a,I,i\\\\,i,i,0.2481,a,a
7,a,I,i\\\\,i,i,0.2481,a,a
9,a,I,III,III,#II/bIII,1.4415,C,a
9,a,I,V7/VI,V,#II/bIII,1.4415,C,a
10,a,I,VI(94),VI,#V/bVI,0.1657,F,a
10,a,I,VI,VI,#V/bVI,0.1657,F,a
10,a,I,V7/iv,V,#V/bVI,0.1657,F,a
11,a,I,iv(974),iv,iv,0.3985,d,a
11,a,I,iv,iv,iv,0.3985,d,a
11,a,I,iv,iv,iv,0.3985,d,a
12,a,I,V/iv,V,iv,1.6817,d,a
12,a,I,V7/iv,V,iv,1.6817,d,a
13,a,I,iv,iv,i,0.4536,a,a
13,a,I,V7,V,i,0.4536,a,a
14,a,I,i\\\\,i,I,1.4633,A,a
14,a,I,#viio2/V,#vii,I,1.4633,A,a
14,a,I,#viio43/V,#vii,I,1.4633,A,a
15,a,I,V,V,V,0.8773,E,a
15,a,I,V7(+9),V,V,0.8773,E,a
16,a,I,i\\\\,i,I,1.4633,A,a
16,a,I,#viio2/V,#vii,I,1.4633,A,a
16,a,I,#viio43/V,#vii,I,1.4633,A,a
17,a,I,V,V,V,0.103,E,a
17,a,I,#viio2/V,#vii,V,0.103,E,a
17,a,I,#viio/V,#vii,V,0.103,E,a
18,a,I,V,V,V,0.6692,E,a
18,a,I,#viio2,#vii,V,0.6692,E,a
18,a,I,#viio43,#vii,V,0.6692,E,a
19,a,I,i6,i,i,1.0764,a,a
19,a,I,VI,VI,i,1.0764,a,a
19,a,I,iv7,iv,i,1.0764,a,a
19,a,I,V,V,i,1.0764,a,a
20,a,I,#viio2,#vii,i,0.8534,a,a
20,a,I,#viio7,#vii,i,0.8534,a,a
21,a,I,i,i,i,0.7522,a,a
21,a,I,iv6,iv,i,0.7522,a,a
21,a,I,iv7,iv,i,0.7522,a,a
21,a,I,V,V,i,0.7522,a,a
22,a,I,i\\\\,i,iv,1.8251,d,a
23,a,I,i[i64,i,i,0.18,a,a
23,a,I,i,i,i,0.18,a,a
23,a,I,#viio,#vii,i,0.18,a,a
23,a,I,i,i,i,0.18,a,a
23,a,I,i64,i,i,0.18,a,a
24,a,I,i,i,i,0.1909,a,a
24,a,I,#viio,#vii,i,0.1909,a,a
25,a,I,i64,i,i,0.1457,a,a
25,a,I,i,i,i,0.1457,a,a
25,a,I,#viio,#vii,i,0.1457,a,a
25,a,I,i64,i,i,0.1457,a,a
26,a,I,i,i,i,0.1909,a,a
26,a,I,#viio,#vii,i,0.1909,a,a
27,a,I,i,i,i,0.2482,a,a
28,a,I,i]\\\\,i,#V/bVI,0.632,F,a
28,a,vi,vi.V9,V,#V/bVI,0.632,F,a
29,a,vi,V7,V,#ii/biii,1.2929,c,a
29,a,vi,V,V,#ii/biii,1.2929,c,a
30,a,vi,V9,V,#i/bii,2.0568,bb,a
30,a,vi,V9(4),V,#i/bii,2.0568,bb,a
31,a,vi,V9,V,#v/bvi,1.517,f,a
31,a,vi,V7,V,#v/bvi,1.517,f,a
31,a,vi,V9(4),V,#v/bvi,1.517,f,a
32,a,vi,V9,V,#v/bvi,1.517,f,a
32,a,vi,V9(4),V,#v/bvi,1.517,f,a
33,a,vi,V,V,#v/bvi,1.5589,f,a
33,a,vi,V7,V,#v/bvi,1.5589,f,a
34,a,vi,i,i,III,1.7386,Db/C#,a
34,a,vi,VI,VI,III,1.7386,Db/C#,a
34,a,vi,i64,i,III,1.7386,Db/C#,a
35,a,vi,#viio7/V,#vii,#v/bvi,0.2868,f,a
35,a,vi,VI,VI,#v/bvi,0.2868,f,a
35,a,vi,i64,i,#v/bvi,0.2868,f,a
36,a,vi,#viio7/V,#vii,#v/bvi,0.2868,f,a
