Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,a,I,.a.#viio,#vii,VI,1.6864,A,C
1,a,I,i,i,VI,1.6864,A,C
2,a,I,VI,VI,vi,1.1742,a,C
2,a,I,V,V,vi,1.1742,a,C
3,a,I,#viio43/V,#vii,III,0.4517,E,C
3,a,I,V6,V,III,0.4517,E,C
4,a,I,#viio7/V,#vii,III,0.3265,E,C
4,a,I,V,V,III,0.3265,E,C
5,a,I,#viio2,#vii,I,1.0165,C,C
5,a,I,i64,i,I,1.0165,C,C
6,a,I,#viio7,#vii,I,0.9925,C,C
6,a,I,i,i,I,0.9925,C,C
7,a,I,#viio7/V,#vii,#i/bii,1.4677,c#,C
7,a,I,V,V,#i/bii,1.4677,c#,C
8,a,I,.Ger43,Ger,I,0.9015,C,C
8,a,I,V64,V,I,0.9015,C,C
8,a,I,#viio65,#vii,I,0.9015,C,C
9,a,I,#viio65,#vii,V,0.8452,G,C
10,a,I,i6(6),i,vi,0.2761,a,C
10,a,I,i6,i,vi,0.2761,a,C
11,a,I,i,i,vi,1.3287,a,C
12,a,I,V(4),V,III,0.5044,E,C
12,a,I,V,V,III,0.5044,E,C
12,a,I,V7,V,III,0.5044,E,C
13,a,I,VI(4),VI,vi,1.1907,a,C
13,a,I,.Ger6,Ger,vi,1.1907,a,C
14,a,I,V(4),V,III,0.9032,E,C
14,a,I,V,V,III,0.9032,E,C
15,a,I,V65,V,iii,0.797,e,C
16,a,I,i(11),i,vi,0.6707,a,C
16,a,I,i(9#7),i,vi,0.6707,a,C
16,a,I,iio7,ii,vi,0.6707,a,C
17,a,I,i6(6),i,vi,0.3641,a,C
17,a,I,i6(#7b2),i,vi,0.3641,a,C
17,a,I,V6/iv,V,vi,0.3641,a,C
18,a,I,iv(4),iv,v,1.3237,g,C
18,a,I,iv,iv,v,1.3237,g,C
18,a,I,.bII6(6),bII,v,1.3237,g,C
18,a,I,.bII,bII,v,1.3237,g,C
20,a,I,#viio,#vii,iv,1.0566,f,C
20,a,I,V2/iv,V,iv,1.0566,f,C
20,a,I,IV6,IV,iv,1.0566,f,C
20,a,I,.Ger6,Ger,iv,1.0566,f,C
21,a,I,V(64),V,vi,0.3303,a,C
22,a,I,V9,V,iii,1.8493,e,C
23,a,I,VI6,VI,IV,0.9921,F,C
24,a,I,V6(4),V,III,1.237,E,C
24,a,I,V6,V,III,1.237,E,C
25,a,I,V7,V,III,0.5207,E,C
26,a,I,i(4),i,ii,1.3458,d,C
26,a,I,i,i,ii,1.3458,d,C
26,a,I,iio7,ii,ii,1.3458,d,C
27,a,I,i6(4),i,IV,0.4371,F,C
27,a,I,i6,i,IV,0.4371,F,C
27,a,I,V6/iv,V,IV,0.4371,F,C
28,a,I,iv(4),iv,#VI/bVII,1.9359,Bb,C
28,a,I,iv,iv,#VI/bVII,1.9359,Bb,C
28,a,I,vii64,vii,#VI/bVII,1.9359,Bb,C
28,a,I,.bII6,bII,#VI/bVII,1.9359,Bb,C
28,a,I,.bII,bII,#VI/bVII,1.9359,Bb,C
29,a,I,.bII6,bII,#VI/bVII,0.3803,Bb,C
29,a,VI,VI.iv6,iv,#VI/bVII,0.3803,Bb,C
30,a,VI,V7(b2),V,#vi/bvii,0.7847,bb,C
31,a,VI,V7(4),V,I,1.1207,C,C
31,a,VI,V7,V,I,1.1207,C,C
32,a,VI,V7(4b2),V,#vi/bvii,1.488,bb,C
32,a,VI,V7(b2),V,#vi/bvii,1.488,bb,C
33,a,VI,V7(4),V,I,0.451,C,C
33,a,VI,V7,V,I,0.451,C,C
34,a,VI,V+7,V,I,0.198,C,C
34,a,VI,V65,V,I,0.198,C,C
35,a,VI,I,I,IV,0.3501,F,C
35,a,VI,I6,I,IV,0.3501,F,C
36,a,VI,V,V,I,0.4768,C,C
36,a,VI,V7,V,I,0.4768,C,C
37,a,VI,I,I,IV,0.1199,F,C
37,a,VI,I6,I,IV,0.1199,F,C
38,a,VI,IV,IV,#VI/bVII,1.2182,Bb,C
38,a,VI,ii,ii,#VI/bVII,1.2182,Bb,C
38,a,VI,viio,vii,#VI/bVII,1.2182,Bb,C
39,a,VI,V7,V,I,0.4083,C,C
39,a,iv,iv.iv6,iv,I,0.4083,C,C
40,a,iv,V\\\\,V,ii,1.597,d,C
41,a,iv,i64,i,ii,0.453,d,C
41,a,iv,VI6(+5),VI,ii,0.453,d,C
42,a,iv,V65,V,vi,1.6853,a,C
42,a,iv,V43,V,vi,1.6853,a,C
43,a,iv,i,i,V,1.2967,G,C
43,a,VI,VI.V7/V,V,V,1.2967,G,C
44,a,VI,V7,V,IV,1.6207,F,C
44,a,VI,V(64),V,IV,1.6207,F,C
45,a,VI,V,V,IV,1.6143,F,C
45,a,VI,V(64),V,IV,1.6143,F,C
45,a,VI,V2/IV,V,IV,1.6143,F,C
46,a,VI,IV6,IV,#VI/bVII,0.888,Bb,C
46,a,VI,I6,I,#VI/bVII,0.888,Bb,C
46,a,VI,IV,IV,#VI/bVII,0.888,Bb,C
47,a,VI,V65/V,V,ii,1.9936,d,C
47,a,VI,V(64),V,ii,1.9936,d,C
47,a,VI,V7(6),V,ii,1.9936,d,C
47,a,VI,V7,V,ii,1.9936,d,C
48,a,VI,I\\\\,I,IV,0.9493,F,C
48,a,VI,I,I,IV,0.9493,F,C
49,a,VI,V65,V,I,1.1147,C,C
50,a,VI,I(4),I,IV,0.5636,F,C
50,a,VI,I,I,IV,0.5636,F,C
51,a,VI,V/V,V,I,1.9456,C,C
51,a,VI,V7/V,V,I,1.9456,C,C
52,a,VI,V,V,I,0.1802,C,C
53,a,VI,V65/IV,V,iv,1.6368,f,C
53,a,VI,I6(#5),I,iv,1.6368,f,C
54,a,VI,IV(4),IV,#VI/bVII,0.1757,Bb,C
54,a,VI,IV,IV,#VI/bVII,0.1757,Bb,C
55,a,VI,V7,V,IV,1.1613,F,C
55,a,VI,V(64),V,IV,1.1613,F,C
55,a,VI,V7,V,IV,1.1613,F,C
56,a,VI,V(64),V,I,2.2378,C,C
56,a,VI,V2,V,I,2.2378,C,C
56,a,VI,V65,V,I,2.2378,C,C
57,a,VI,I,I,IV,1.2447,F,C
57,a,VI,viio,vii,IV,1.2447,F,C
57,a,VI,I6,I,IV,1.2447,F,C
57,a,VI,V43,V,IV,1.2447,F,C
58,a,VI,I6,I,IV,1.4327,F,C
58,a,VI,viio6,vii,IV,1.4327,F,C
58,a,VI,I,I,IV,1.4327,F,C
58,a,VI,V7,V,IV,1.4327,F,C
59,a,VI,I,I,IV,0.4277,F,C
59,a,VI,I6,I,IV,0.4277,F,C
59,a,VI,vi,vi,IV,0.4277,F,C
59,a,VI,vi6,vi,IV,0.4277,F,C
60,a,VI,IV,IV,#VI/bVII,1.2499,Bb,C
61,a,VI,V2,V,IV,2.1082,F,C
62,a,VI,I6,I,ii,1.5948,d,C
62,a,VI,V43/V,V,ii,1.5948,d,C
63,a,VI,IV6,IV,v,2.0356,g,C
63,a,VI,V6,V,v,2.0356,g,C
63,a,VI,V43,V,v,2.0356,g,C
64,a,VI,I6,I,I,1.1102,C,C
64,a,VI,V65/V,V,I,1.1102,C,C
64,a,VI,V(6),V,I,1.1102,C,C
64,a,VI,V65,V,I,1.1102,C,C
65,a,VI,I,I,I,0.2766,C,C
65,a,VI,V43/V,V,I,0.2766,C,C
65,a,VI,V,V,I,0.2766,C,C
65,a,VI,V2,V,I,0.2766,C,C
66,a,VI,I6,I,IV,1.8308,F,C
66,a,VI,#viio6/V,#vii,IV,1.8308,F,C
66,a,VI,V7,V,IV,1.8308,F,C
67,a,VI,I,I,IV,1.0092,F,C
67,a,VI,viio6,vii,IV,1.0092,F,C
67,a,VI,viio43,vii,IV,1.0092,F,C
67,a,VI,viio7,vii,IV,1.0092,F,C
67,a,VI,viio65,vii,IV,1.0092,F,C
67,a,VI,I6,I,IV,1.0092,F,C
68,a,VI,#viio7/V,#vii,I,0.3775,C,C
68,a,VI,V,V,I,0.3775,C,C
69,a,VI,I,I,IV,1.5186,F,C
69,a,VI,viio7,vii,IV,1.5186,F,C
69,a,VI,I64,I,IV,1.5186,F,C
70,a,VI,#viio65/V,#vii,IV,0.3511,F,C
70,a,VI,V(64),V,IV,0.3511,F,C
71,a,VI,#viio7/V,#vii,I,0.3318,C,C
71,a,VI,V(+2),V,I,0.3318,C,C
71,a,VI,V,V,I,0.3318,C,C
72,a,VI,#viio7/V,#vii,I,0.7185,C,C
72,a,VI,V7,V,I,0.7185,C,C
73,a,VI,I,I,IV,0.1267,F,C
73,a,VI,IV6,IV,IV,0.1267,F,C
73,a,VI,I64,I,IV,0.1267,F,C
73,a,VI,V,V,IV,0.1267,F,C
74,a,VI,V7/IV\\\\,V,IV,1.0637,F,C
75,a,VI,I,I,IV,1.9289,F,C
76,a,vii,vii.#viio,#vii,II,1.6864,D,C
77,a,vii,V2/III,V,IV,1.217,F,C
78,a,vii,V,V,II,0.4295,D,C
79,a,vii,V(b9),V,v,1.6604,g,C
80,a,vii,i64(5),i,v,0.621,g,C
80,a,vii,i64,i,v,0.621,g,C
81,a,vii,V9(6),V,#II/bIII,1.0605,Eb,C
81,a,vii,V9,V,#II/bIII,1.0605,Eb,C
82,a,vii,i64(11),i,v,0.5003,g,C
82,a,vii,i64,i,v,0.5003,g,C
83,a,vii,V7,V,ii,0.9358,d,C
83,a,vii,V65,V,ii,0.9358,d,C
84,a,iii,iii.#viio43(2),#vii,i,0.1536,c,C
84,a,iii,V43,V,i,0.1536,c,C
84,a,iii,i6(6),i,i,0.1536,c,C
84,a,iii,i,i,i,0.1536,c,C
85,a,iii,V6,V,V,0.7283,G,C
85,a,iii,V65,V,V,0.7283,G,C
86,a,iii,i(4),i,i,0.9712,c,C
86,a,iii,i(6),i,i,0.9712,c,C
86,a,iii,i,i,i,0.9712,c,C
86,a,iii,v6,v,i,0.9712,c,C
87,a,iii,.Ger6(74),Ger,i,0.4178,c,C
87,a,iii,.Ger6,Ger,i,0.4178,c,C
88,a,iii,V(64),V,V,1.8922,G,C
88,a,iii,V7,V,V,1.8922,G,C
89,a,iii,V(64),V,i,1.1514,c,C
89,a,iii,I,I,i,1.1514,c,C
89,a,iii,I6,I,i,1.1514,c,C
90,a,iii,VI,VI,i,2.0169,c,C
91,a,iii,iv65,iv,v,0.8769,g,C
91,a,iii,V43/V,V,v,0.8769,g,C
91,a,iii,V(4),V,v,0.8769,g,C
91,a,iii,V,V,v,0.8769,g,C
92,a,III,III.I,I,I,1.3432,C,C
92,a,III,I,I,I,1.3432,C,C
93,a,III,I6,I,vi,0.3158,a,C
94,a,III,I64,I,I,1.666,C,C
95,a,III,I,I,vi,0.5627,a,C
95,a,III,I6,I,vi,0.5627,a,C
95,a,III,ii,ii,vi,0.5627,a,C
96,a,III,V64,V,v,1.9131,g,C
96,a,III,V,V,v,1.9131,g,C
96,a,III,IV,IV,v,1.9131,g,C
97,a,III,#viio43/ii,#vii,I,2.2027,C,C
97,a,III,ii6,ii,I,2.2027,C,C
97,a,III,#viio65/ii,#vii,I,2.2027,C,C
97,a,III,viio43,vii,I,2.2027,C,C
97,a,III,I6,I,I,2.2027,C,C
98,a,III,ii,ii,I,2.1891,C,C
98,a,III,vi65,vi,I,2.1891,C,C
98,a,III,V43,V,I,2.1891,C,C
98,a,III,vi6,vi,I,2.1891,C,C
98,a,III,viio,vii,I,2.1891,C,C
98,a,III,vi,vi,I,2.1891,C,C
98,a,III,V7,V,I,2.1891,C,C
99,a,III,I64,I,I,0.214,C,C
99,a,III,I,I,I,0.214,C,C
99,a,III,I6,I,I,0.214,C,C
99,a,III,I,I,I,0.214,C,C
100,a,III,vi,vi,I,0.5637,C,C
100,a,III,vi6,vi,I,0.5637,C,C
101,a,III,iii6,iii,iii,0.3925,e,C
101,a,III,iii64,iii,iii,0.3925,e,C
102,a,v,v.iv7,iv,vii,1.8127,b,C
102,a,v,V65/V,V,vii,1.8127,b,C
102,a,v,V(4),V,vii,1.8127,b,C
102,a,v,V,V,vii,1.8127,b,C
103,a,v,#viio,#vii,#II/bIII,1.9289,Eb,C
104,a,v,i,i,III,1.9289,E,C
105,a,v,.Ger6,Ger,I,0.283,C,C
106,a,v,V,V,VII,0.5258,B/Cb,C
108,a,v,i64(94),i,iii,0.1591,e,C
108,a,v,i64,i,iii,0.1591,e,C
109,a,v,V9,V,iii,0.8689,e,C
110,a,v,V(64),V,VII,1.1646,B/Cb,C
110,a,v,V,V,VII,1.1646,B/Cb,C
111,a,v,#viio43,#vii,V,2.2597,G,C
111,a,v,#viio65,#vii,V,2.2597,G,C
112,a,v,iv7,iv,iii,0.4665,e,C
112,a,v,i6,i,iii,0.4665,e,C
112,a,v,V43(4),V,iii,0.4665,e,C
113,a,v,i(+6),i,I,1.9259,C,C
113,a,v,i6(+6),i,I,1.9259,C,C
114,a,v,i,i,vii,1.5449,b,C
114,a,v,V6,V,vii,1.5449,b,C
114,a,v,VI7,VI,vii,1.5449,b,C
115,a,v,V,V,iii,1.1258,e,C
115,a,v,i,i,iii,1.1258,e,C
116,a,v,V6,V,vii,0.7446,b,C
116,a,v,viio6/VI,vii,vii,0.7446,b,C
117,a,v,VI7,VI,I,0.9133,C,C
117,a,v,V,V,I,0.9133,C,C
117,a,v,iv,iv,I,0.9133,C,C
118,a,v,VI43,VI,i,0.7252,c,C
118,a,v,#viio65,#vii,i,0.7252,c,C
118,a,v,VI6,VI,i,0.7252,c,C
118,a,v,#viio7,#vii,i,0.7252,c,C
119,a,v,#viio65,#vii,vi,2.3834,a,C
120,a,v,V7,V,vii,0.7378,b,C
121,a,v,i,i,iii,1.3287,e,C
122,a,v,V6,V,VII,0.4219,B/Cb,C
