Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,a,I,.a.i(6),i,i,0.2481,a,a
1,a,I,i,i,i,0.2481,a,a
2,a,I,V43(+2),V,v,0.4379,e,a
2,a,I,V43,V,v,0.4379,e,a
3,a,I,i(6),i,i,0.2078,a,a
3,a,I,i,i,i,0.2078,a,a
4,a,I,V43(4+2),V,v,1.8095,e,a
4,a,I,V43,V,v,1.8095,e,a
5,a,I,i(6),i,i,0.1581,a,a
5,a,I,i,i,i,0.1581,a,a
6,a,I,V6(2),V,V,0.7774,E,a
6,a,I,V6,V,V,0.7774,E,a
7,a,I,V64(+4)/VI,V,#II/bIII,0.1595,C,a
7,a,I,V43/VI,V,#II/bIII,0.1595,C,a
8,a,I,VI(+2),VI,#V/bVI,0.1697,F,a
8,a,I,VI,VI,#V/bVI,0.1697,F,a
9,a,I,V64(4)/VI,V,#II/bIII,0.5083,C,a
9,a,I,V64/VI,V,#II/bIII,0.5083,C,a
10,a,I,viio6(+7)/VI,vii,#VI/bVII,0.3496,G,a
10,a,I,viio6/VI,vii,#VI/bVII,0.3496,G,a
10,a,I,i,i,#VI/bVII,0.3496,G,a
12,a,I,V43(42),V,I,0.9507,A,a
12,a,I,V43(4),V,I,0.9507,A,a
12,a,I,V43,V,I,0.9507,A,a
13,a,I,i(6),i,i,0.2732,a,a
13,a,I,i,i,i,0.2732,a,a
14,a,I,V6(6),V,V,0.6597,E,a
14,a,I,V6,V,V,0.6597,E,a
15,a,I,V43/VI,V,#II/bIII,0.2188,C,a
16,a,I,VI(b4+2),VI,#V/bVI,0.3635,F,a
16,a,I,VI,VI,#V/bVI,0.3635,F,a
17,a,I,V64/VI,V,#II/bIII,0.2263,C,a
18,a,I,viio6(+7)/VI,vii,#VI/bVII,0.6213,G,a
18,a,I,viio6/VI,vii,#VI/bVII,0.6213,G,a
19,a,I,iv,iv,iv,1.3518,d,a
20,a,I,V6(6)/iv,V,I,0.7385,A,a
20,a,I,V6/iv,V,I,0.7385,A,a
20,a,I,i6,i,I,0.7385,A,a
21,a,I,v(4),v,v,0.3957,e,a
21,a,I,v,v,v,0.3957,e,a
22,a,I,V6(+2)/V,V,II,0.9852,B/Cb,a
22,a,I,V6/V,V,II,0.9852,B/Cb,a
22,a,I,#viio43,#vii,II,0.9852,B/Cb,a
23,a,I,i6,i,i,1.4178,a,a
24,a,I,V65,V,V,1.5522,E,a
24,a,I,i,i,V,1.5522,E,a
25,a,I,V,V,V,0.9735,E,a
25,a,I,V7,V,V,0.9735,E,a
26,a,I,i,i,i,1.139,a,a
26,a,I,V7/iv,V,i,1.139,a,a
26,a,I,iv,iv,i,1.139,a,a
28,a,I,V6(6)/iv,V,I,0.7808,A,a
28,a,I,V6/iv,V,I,0.7808,A,a
28,a,I,i6,i,I,0.7808,A,a
29,a,I,v(4),v,v,0.4875,e,a
29,a,I,v,v,v,0.4875,e,a
30,a,I,V6(6)/V,V,II,0.3026,B/Cb,a
30,a,I,V6/V,V,II,0.3026,B/Cb,a
30,a,I,#viio43,#vii,II,0.3026,B/Cb,a
31,a,I,i6,i,i,1.3488,a,a
32,a,I,V6,V,V,1.7061,E,a
32,a,I,i,i,V,1.7061,E,a
33,a,I,V,V,v,1.1415,e,a
33,a,I,V7,V,v,1.1415,e,a
34,a,I,i,i,i,0.6733,a,a
35,a,I,i(+6),i,i,0.2067,a,a
35,a,I,i,i,i,0.2067,a,a
36,a,I,V6,V,v,1.4183,e,a
37,a,I,V6,V,V,1.1092,E,a
37,a,I,V65,V,V,1.1092,E,a
38,a,I,i,i,i,0.6038,a,a
39,a,I,i(+6),i,i,0.2067,a,a
39,a,I,i,i,i,0.2067,a,a
40,a,I,V6,V,v,1.1053,e,a
40,a,I,i,i,v,1.1053,e,a
41,a,I,iv,iv,i,0.2167,a,a
41,a,I,V(64),V,i,0.2167,a,a
41,a,I,V,V,i,0.2167,a,a
42,a,I,i\\\\,i,i,0.7448,a,a
42,a,I,.It6,It,i,0.7448,a,a
42,a,I,V6,V,i,0.7448,a,a
42,a,I,.It6,It,i,0.7448,a,a
42,a,I,V6,V,i,0.7448,a,a
42,a,I,i6,i,i,0.7448,a,a
43,a,I,VIM7,VI,i,0.3933,a,a
44,a,I,V64,V,#II/bIII,0.5933,C,a
44,a,I,.It6,It,#II/bIII,0.5933,C,a
44,a,I,V6,V,#II/bIII,0.5933,C,a
44,a,I,.It6,It,#II/bIII,0.5933,C,a
44,a,I,V6,V,#II/bIII,0.5933,C,a
45,a,I,V,V,V,0.8844,E,a
46,a,I,i,i,i,1.1324,a,a
46,a,I,.Ger6,Ger,i,1.1324,a,a
46,a,I,V6,V,i,1.1324,a,a
46,a,I,.Ger6,Ger,i,1.1324,a,a
46,a,I,V6,V,i,1.1324,a,a
46,a,I,i,i,i,1.1324,a,a
47,a,I,V6,V,i,1.4321,a,a
47,a,I,V65,V,i,1.4321,a,a
47,a,I,i,i,i,1.4321,a,a
48,a,VII,VII.ii,ii,#VI/bVII,2.3722,G,a
48,a,VII,V7,V,#VI/bVII,2.3722,G,a
48,a,VII,I,I,#VI/bVII,2.3722,G,a
49,a,VII,IV,IV,#VI/bVII,0.5364,G,a
49,a,VII,V(64),V,#VI/bVII,0.5364,G,a
49,a,VII,V,V,#VI/bVII,0.5364,G,a
50,a,VII,I\\\\,I,#VI/bVII,0.2172,G,a
50,a,VII,I,I,#VI/bVII,0.2172,G,a
51,a,VII,@none,,#VI/bVII,0.9344,G,a
52,a,VII,I,I,#VI/bVII,0.6306,G,a
52,a,VII,I6,I,#VI/bVII,0.6306,G,a
53,a,VII,viio6,vii,IV,0.6604,D,a
54,a,VII,I,I,v,0.358,e,a
55,a,VII,V6,V,IV,1.5832,D,a
55,a,VII,#viio64/IV,#vii,IV,1.5832,D,a
56,a,VII,IV6,IV,#VI/bVII,1.899,G,a
56,a,VII,vii%2,vii,#VI/bVII,1.899,G,a
56,a,VII,V43,V,#VI/bVII,1.899,G,a
57,a,VII,ii6,ii,#VI/bVII,1.0495,G,a
57,a,VII,viio64,vii,#VI/bVII,1.0495,G,a
57,a,VII,I6,I,#VI/bVII,1.0495,G,a
57,a,VII,IV,IV,#VI/bVII,1.0495,G,a
57,a,VII,I,I,#VI/bVII,1.0495,G,a
58,a,VII,ii65,ii,i,2.0369,a,a
58,a,v,v.iv65,iv,i,2.0369,a,a
59,a,v,V,V,v,1.9005,e,a
59,a,v,V(64),V,v,1.9005,e,a
60,a,v,iv7,iv,#II/bIII,0.4926,C,a
60,a,v,VI,VI,#II/bIII,0.4926,C,a
61,a,v,V(6),V,#ii/biii,1.1535,c,a
61,a,v,VIM7,VI,#ii/biii,1.1535,c,a
62,a,v,i6,i,i,1.1341,a,a
62,a,v,VI,VI,i,1.1341,a,a
63,a,v,@none,,#ii/biii,1.1954,c,a
63,a,v,VI,VI,#ii/biii,1.1954,c,a
64,a,v,i64,i,#II/bIII,1.8389,C,a
65,a,v,iv,iv,v,1.4115,e,a
66,a,v,i6,i,i,1.2158,a,a
68,a,v,i6,i,v,0.5025,e,a
69,a,v,iv,iv,#V/bVI,0.3631,F,a
69,a,v,viio7,vii,#V/bVI,0.3631,F,a
70,a,v,i64,i,v,0.1178,e,a
71,a,v,#viio6,#vii,v,0.7522,e,a
71,a,v,i6,i,v,0.7522,e,a
71,a,v,VI,VI,v,0.7522,e,a
72,a,v,i64,i,#II/bIII,1.0359,C,a
73,a,v,iv,iv,v,1.7812,e,a
74,a,v,i6,i,i,1.4617,a,a
75,a,v,VI,VI,v,0.6157,e,a
77,a,v,II,II,#V/bVI,0.4151,F,a
78,a,III,III.ii6,ii,#V/bVI,1.5616,F,a
79,a,III,viio6,vii,#VI/bVII,0.2821,G,a
79,a,III,viio,vii,#VI/bVII,0.2821,G,a
79,a,III,viio6/V,vii,#VI/bVII,0.2821,G,a
80,a,III,V,V,#VI/bVII,0.336,G,a
