Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,C,I,.C.I,I,IV,1.8225,F,C
1,C,I,V,V,IV,1.8225,F,C
1,C,I,V43,V,IV,1.8225,F,C
2,C,I,I,I,I,0.271,C,C
3,C,I,V43,V,ii,1.8638,d,C
4,C,I,I,I,I,1.6419,C,C
5,C,I,IV,IV,V,2.3191,G,C
5,C,I,V,V,V,2.3191,G,C
6,C,I,I,I,I,0.1267,C,C
6,C,I,I6,I,I,0.1267,C,C
7,C,I,IV,IV,V,2.3191,G,C
7,C,I,V,V,V,2.3191,G,C
8,C,I,I\\\\,I,vi,1.5603,a,C
8,C,I,vi,vi,vi,1.5603,a,C
9,C,I,V65/V,V,II,0.8627,D,C
9,C,I,V7/V,V,II,0.8627,D,C
10,C,V,V.I,I,V,1.153,G,C
11,C,V,V65,V,vi,2.0147,a,C
12,C,V,I,I,V,1.143,G,C
12,C,V,IV,IV,V,1.143,G,C
12,C,V,I,I,V,1.143,G,C
12,C,V,vi,vi,V,1.143,G,C
13,C,V,V43,V,vi,1.8716,a,C
14,C,V,I,I,V,0.1694,G,C
14,C,V,I6,I,V,0.1694,G,C
15,C,V,IV,IV,II,2.2312,D,C
15,C,V,ii,ii,II,2.2312,D,C
15,C,V,V,V,II,2.2312,D,C
15,C,V,iii,iii,II,2.2312,D,C
16,C,I,I.V6,V,V,0.2337,G,C
17,C,I,V(64),V,vi,1.1047,a,C
17,C,I,V(6#4),V,vi,1.1047,a,C
18,C,I,V7,V,v,0.8082,g,C
19,C,I,V,V,V,1.5022,G,C
20,C,I,V(64),V,V,1.5676,G,C
20,C,I,V2/ii,V,V,1.5676,G,C
21,C,I,ii6,ii,ii,1.4989,d,C
21,C,I,V2,V,ii,1.4989,d,C
22,C,I,I6,I,vi,1.4421,a,C
22,C,I,V2/ii,V,vi,1.4421,a,C
23,C,I,ii6,ii,ii,2.1182,d,C
23,C,I,V2,V,ii,2.1182,d,C
24,C,I,I6,I,I,0.1031,C,C
24,C,I,V65/IV,V,I,0.1031,C,C
25,C,I,IV,IV,IV,1.5516,F,C
25,C,I,V7,V,IV,1.5516,F,C
26,C,I,I,I,I,0.3656,C,C
26,C,I,V65/IV,V,I,0.3656,C,C
27,C,I,IV,IV,ii,2.1592,d,C
27,C,I,V7,V,ii,2.1592,d,C
28,C,I,I\\\\,I,vi,1.1366,a,C
28,C,I,vi,vi,vi,1.1366,a,C
29,C,I,ii65,ii,V,0.9417,G,C
29,C,I,V\\\\,V,V,0.9417,G,C
30,C,I,I6,I,I,0.5572,C,C
30,C,I,vi7,vi,I,0.5572,C,C
30,C,I,I,I,I,0.5572,C,C
30,C,I,V6,V,I,0.5572,C,C
30,C,I,vi6,vi,I,0.5572,C,C
30,C,I,V65/ii,V,I,0.5572,C,C
31,C,I,ii,ii,ii,1.8539,d,C
31,C,I,ii6,ii,ii,1.8539,d,C
31,C,I,V65,V,ii,1.8539,d,C
31,C,I,V7,V,ii,1.8539,d,C
32,C,I,I\\\\,I,I,1.4636,C,C
32,C,I,I6,I,I,1.4636,C,C
32,C,I,vi6,vi,I,1.4636,C,C
32,C,I,V65/ii,V,I,1.4636,C,C
33,C,I,ii,ii,ii,1.73,d,C
33,C,I,V,V,ii,1.73,d,C
33,C,I,V6,V,ii,1.73,d,C
33,C,I,ii,ii,ii,1.73,d,C
33,C,I,V6,V,ii,1.73,d,C
33,C,I,V7,V,ii,1.73,d,C
34,C,I,I\\\\,I,I,0.6425,C,C
34,C,I,I64,I,I,0.6425,C,C
34,C,I,I,I,I,0.6425,C,C
34,C,I,V2/IV,V,I,0.6425,C,C
35,C,I,IV,IV,ii,0.9178,d,C
35,C,I,IV6,IV,ii,0.9178,d,C
35,C,I,V64,V,ii,0.9178,d,C
35,C,I,V,V,ii,0.9178,d,C
36,C,I,I6,I,I,0.1919,C,C
36,C,I,I64,I,I,0.1919,C,C
36,C,I,I,I,I,0.1919,C,C
36,C,I,V2/V,V,I,0.1919,C,C
37,C,I,IV,IV,ii,1.2343,d,C
37,C,I,IV6,IV,ii,1.2343,d,C
37,C,I,V64,V,ii,1.2343,d,C
37,C,I,V,V,ii,1.2343,d,C
38,C,I,vi,vi,V,2.3425,G,C
38,C,I,@none,,V,2.3425,G,C
39,C,I,I,I,I,2.0662,C,C
39,C,I,viio6,vii,I,2.0662,C,C
40,C,I,I6,I,IV,1.0786,F,C
40,C,I,IV,IV,IV,1.0786,F,C
41,C,I,V(64),V,iii,0.5694,e,C
41,C,I,V65/vi,V,iii,0.5694,e,C
42,C,I,vi,vi,ii,2.0441,d,C
42,C,I,V6,V,ii,2.0441,d,C
43,C,I,I,I,I,1.2295,C,C
43,C,I,viio6,vii,I,1.2295,C,C
44,C,I,I6,I,IV,1.1429,F,C
44,C,I,ii6,ii,IV,1.1429,F,C
45,C,I,V(64),V,I,1.3563,C,C
45,C,I,V7,V,I,1.3563,C,C
46,C,I,I\\\\,I,I,0.6548,C,C
46,C,I,I[I,I,I,0.6548,C,C
48,C,I,viio43,vii,I,1.5988,C,C
50,C,I,I,I,I,0.6256,C,C
51,C,I,I],I,I,0.6256,C,C
52,C,I,#viio7/ii,#vii,II,2.2081,D,C
54,C,I,V65/ii,V,ii,0.6074,d,C
54,C,I,ii,ii,ii,0.6074,d,C
55,C,I,V6,V,I,0.1998,C,C
55,C,I,I,I,I,0.1998,C,C
56,C,V,V.ii6,ii,I,0.4062,C,C
