Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,Bb,I,.Bb.I,I,I,1.9296,Bb,Bb
5,Bb,I,V,V,V,0.5051,F,Bb
6,Bb,I,I,I,I,0.4636,Bb,Bb
7,Bb,I,V7/V,V,II,0.5407,C,Bb
8,Bb,I,V\\\\,V,V,1.9296,F,Bb
9,Bb,bVII,.bVII.I,I,#VI/bVII,1.9296,Ab,Bb
13,Bb,bVII,V,V,IV,0.5051,Eb,Bb
14,Bb,bVII,I,I,#VI/bVII,0.4636,Ab,Bb
15,Bb,bVII,V7/V,V,I,0.5407,Bb,Bb
16,Bb,bVII,V\\\\,V,IV,1.9296,Eb,Bb
17,Bb,bII,.bII.I,I,VI,1.9296,G,Bb
21,Bb,I,I.V43,V,V,0.9984,F,Bb
23,Bb,I,I,I,I,0.8015,Bb,Bb
23,Bb,I,V7,V,I,0.8015,Bb,Bb
23,Bb,I,vi,vi,I,0.8015,Bb,Bb
24,Bb,I,ii6,ii,I,2.3032,Bb,Bb
24,Bb,I,V(64),V,I,2.3032,Bb,Bb
24,Bb,I,V2,V,I,2.3032,Bb,Bb
25,Bb,I,I6,I,I,0.1888,Bb,Bb
25,Bb,I,viio6,vii,I,0.1888,Bb,Bb
25,Bb,I,I,I,I,0.1888,Bb,Bb
26,Bb,I,ii6,ii,ii,1.6162,c,Bb
26,Bb,I,V(64),V,ii,1.6162,c,Bb
26,Bb,I,viio64,vii,ii,1.6162,c,Bb
27,Bb,I,I6,I,I,2.2704,Bb,Bb
27,Bb,I,ii6,ii,I,2.2704,Bb,Bb
28,Bb,I,V7,V,V,0.9984,F,Bb
29,Bb,I,I\\\\,I,I,0.3385,Bb,Bb
29,Bb,I,I,I,I,0.3385,Bb,Bb
33,Bb,I,V43/vi,V,iii,0.6157,d,Bb
35,Bb,I,vi,vi,IV,1.6869,Eb,Bb
36,Bb,I,viio43/iii,vii,v,0.8825,f,Bb
