Measure,Global_Key,Local_Key,Chord,Relative_Numeral,CoE_KeyCall,CoE_Uncert,CoE_KeySequence,CoE_GlobalKey
1,b,I,.b.i,i,i,1.9875,bb,bb
1,b,I,iv7,iv,i,1.9875,bb,bb
2,b,I,VII(9),VII,#VI/bVII,0.7277,Ab,bb
2,b,I,III7,III,#VI/bVII,0.7277,Ab,bb
3,b,I,VI(9),VI,iv,1.3259,eb/d#,bb
3,b,I,iv6,iv,iv,1.3259,eb/d#,bb
4,b,I,V\\\\,V,V,0.3429,F,bb
5,b,I,i,i,i,1.9875,bb,bb
5,b,I,iv7,iv,i,1.9875,bb,bb
6,b,I,VII(9),VII,#VI/bVII,1.6883,Ab,bb
6,b,I,III7,III,#VI/bVII,1.6883,Ab,bb
7,b,I,VIM7,VI,i,0.4831,bb,bb
7,b,I,iv65,iv,i,0.4831,bb,bb
7,b,I,V7,V,i,0.4831,bb,bb
7,b,I,V,V,i,0.4831,bb,bb
8,b,I,i\\\\,i,i,1.1486,bb,bb
9,b,III,III.V[I6,I,#II/bIII,1.6518,Db/C#,bb
9,b,III,V2,V,#II/bIII,1.6518,Db/C#,bb
10,b,III,I6,I,#II/bIII,1.7914,Db/C#,bb
10,b,III,V43,V,#II/bIII,1.7914,Db/C#,bb
11,b,III,I6,I,#II/bIII,1.6518,Db/C#,bb
11,b,III,V2,V,#II/bIII,1.6518,Db/C#,bb
12,b,III,I6,I,#II/bIII,1.878,Db/C#,bb
12,b,III,V43,V,#II/bIII,1.878,Db/C#,bb
13,b,i,i.i[i6,i,#V/bVI,1.8966,Gb/F#,bb
13,b,i,.bII6,bII,#V/bVI,1.8966,Gb/F#,bb
14,b,i,i6,i,i,0.2359,bb,bb
14,b,i,iio6,ii,i,0.2359,bb,bb
15,b,i,i6],i,I,1.3756,Bb,bb
15,b,i,.bII6,bII,I,1.3756,Bb,bb
16,b,i,V(64),V,i,0.8015,bb,bb
16,b,i,V,V,i,0.8015,bb,bb
16,b,i,i\\\\,i,i,0.8015,bb,bb
17,b,I,I.I,I,I,0.2057,Bb,bb
17,b,I,I6,I,I,0.2057,Bb,bb
17,b,I,V43,V,I,0.2057,Bb,bb
17,b,I,I,I,I,0.2057,Bb,bb
18,b,I,V,V,V,0.1439,F,bb
18,b,I,V[V6,V,V,0.1439,F,bb
18,b,I,V7/ii,V,V,0.1439,F,bb
18,b,I,V6],V,V,0.1439,F,bb
19,b,I,I,I,I,0.9731,Bb,bb
19,b,I,V6,V,I,0.9731,Bb,bb
19,b,I,vi7,vi,I,0.9731,Bb,bb
20,b,I,V,V,V,0.2458,F,bb
20,b,I,V[V6,V,V,0.2458,F,bb
20,b,I,V6],V,V,0.2458,F,bb
21,b,I,I,I,I,0.2057,Bb,bb
21,b,I,I6,I,I,0.2057,Bb,bb
21,b,I,V43,V,I,0.2057,Bb,bb
21,b,I,I,I,I,0.2057,Bb,bb
22,b,I,V,V,V,0.1404,F,bb
22,b,I,V6,V,V,0.1404,F,bb
22,b,I,V7/ii,V,V,0.1404,F,bb
22,b,I,V,V,V,0.1404,F,bb
24,b,I,I\\\\,I,I,0.1719,Bb,bb
24,b,I,I6,I,I,0.1719,Bb,bb
24,b,I,V43,V,I,0.1719,Bb,bb
24,b,I,I,I,I,0.1719,Bb,bb
25,b,I,I\\\\,I,V,0.5174,F,bb
25,b,I,V,V,V,0.5174,F,bb
26,b,V,V.I,I,V,0.2202,F,bb
27,b,V,V,V,II,0.2229,C,bb
27,b,V,V[V6,V,II,0.2229,C,bb
27,b,V,V6],V,II,0.2229,C,bb
28,b,V,V,V,II,0.3601,C,bb
28,b,V,V[V6,V,II,0.3601,C,bb
28,b,V,V6],V,II,0.3601,C,bb
29,b,V,V/V,V,VI,0.2458,G,bb
31,b,#iii,#iii.i,i,iii,0.3119,d,bb
31,b,#iii,V(64),V,iii,0.3119,d,bb
32,b,#iii,V7,V,III,1.9668,D,bb
33,b,#iii,i[i,i,iii,1.2673,d,bb
34,b,#iii,iv,iv,vi,0.797,g,bb
35,b,#iii,i6,i,iii,0.2196,d,bb
36,b,#iii,i6],i,VII,1.0626,A,bb
36,b,#iii,V7,V,VII,1.0626,A,bb
37,b,#iii,i,i,iii,0.1698,d,bb
38,b,#iii,V,V,VI,0.2458,G,bb
39,b,#iii,I,I,II,0.2229,C,bb
40,b,I,I.V/V,V,ii,1.4983,c,bb
40,b,I,V7,V,ii,1.4983,c,bb
41,b,I,I,I,I,0.2458,Bb,bb
42,b,I,V,V,V,0.2229,F,bb
43,b,I,I,I,I,0.3614,Bb,bb
44,b,I,V,V,V,0.3835,F,bb
45,b,I,I,I,I,0.2458,Bb,bb
46,b,I,V,V,V,0.2229,F,bb
48,b,I,I\\\\,I,V,0.6375,F,bb
48,b,I,V,V,V,0.6375,F,bb
49,b,I,I\\\\,I,I,1.8382,Bb,bb
49,b,I,V7,V,I,1.8382,Bb,bb
51,b,I,I,I,I,0.8648,Bb,bb
52,b,I,@none,,II,2.232,C,bb
58,b,I,V,V,iii,0.3579,d,bb
58,b,I,.bVI,bVI,iii,0.3579,d,bb
60,b,I,@none,,IV,1.9296,Eb,bb
62,b,I,V,V,iii,0.3579,d,bb
62,b,I,.bVI,bVI,iii,0.3579,d,bb
64,b,I,@none,,#V/bVI,1.9296,Gb/F#,bb
66,b,i,i.i,i,i,1.9889,bb,bb
66,b,i,iv7,iv,i,1.9889,bb,bb
67,b,i,VII(9),VII,#VI/bVII,0.8097,Ab,bb
67,b,i,III7,III,#VI/bVII,0.8097,Ab,bb
68,b,i,VI(9),VI,iv,1.6328,eb/d#,bb
68,b,i,iv6,iv,iv,1.6328,eb/d#,bb
69,b,i,V,V,v,0.4492,f,bb
69,b,i,V7,V,v,0.4492,f,bb
70,b,i,i,i,i,1.9154,bb,bb
70,b,i,iv7,iv,i,1.9154,bb,bb
71,b,i,VII(9),VII,#VI/bVII,0.8097,Ab,bb
71,b,i,III7,III,#VI/bVII,0.8097,Ab,bb
72,b,i,VI,VI,i,0.2151,bb,bb
72,b,i,iv65,iv,i,0.2151,bb,bb
72,b,i,V7,V,i,0.2151,bb,bb
72,b,i,V,V,i,0.2151,bb,bb
73,b,i,i\\\\,i,IV,2.2228,Eb,bb
73,b,i,@none,,IV,2.2228,Eb,bb
74,b,i,i,i,#V/bVI,1.0961,Gb/F#,bb
74,b,i,iv,iv,#V/bVI,1.0961,Gb/F#,bb
75,b,i,VII,VII,v,1.9158,f,bb
75,b,i,III,III,v,1.9158,f,bb
76,b,i,VI,VI,iv,0.78,eb/d#,bb
76,b,i,iv6,iv,iv,0.78,eb/d#,bb
77,b,i,V,V,V,0.6811,F,bb
78,b,i,i,i,#V/bVI,0.7357,Gb/F#,bb
78,b,i,iv,iv,#V/bVI,0.7357,Gb/F#,bb
79,b,i,VII,VII,v,0.6964,f,bb
79,b,i,III,III,v,0.6964,f,bb
80,b,i,VI,VI,i,0.2125,bb,bb
80,b,i,V7,V,i,0.2125,bb,bb
80,b,i,V,V,i,0.2125,bb,bb
81,b,i,i\\\\,i,i,0.4428,bb,bb
82,b,III,III.V[I6,I,#II/bIII,1.6518,Db/C#,bb
82,b,III,V2,V,#II/bIII,1.6518,Db/C#,bb
83,b,III,I6,I,#II/bIII,1.2206,Db/C#,bb
83,b,III,V43,V,#II/bIII,1.2206,Db/C#,bb
84,b,III,I6,I,#II/bIII,1.6518,Db/C#,bb
84,b,III,V43,V,#II/bIII,1.6518,Db/C#,bb
85,b,III,I6,I,#II/bIII,1.2206,Db/C#,bb
85,b,III,V43,V,#II/bIII,1.2206,Db/C#,bb
85,b,III,V43],V,#II/bIII,1.2206,Db/C#,bb
86,b,i,i.i[i6,i,#V/bVI,1.8966,Gb/F#,bb
86,b,i,.bII6,bII,#V/bVI,1.8966,Gb/F#,bb
87,b,i,i6,i,i,0.2359,bb,bb
87,b,i,iio6,ii,i,0.2359,bb,bb
88,b,i,i6],i,I,1.3756,Bb,bb
88,b,i,.bII6,bII,I,1.3756,Bb,bb
89,b,i,V(64),V,i,0.8015,bb,bb
89,b,i,V,V,i,0.8015,bb,bb
89,b,i,i\\\\,i,i,0.8015,bb,bb
90,b,III,III.V[I,I,#II/bIII,0.6818,Db/C#,bb
90,b,III,viio,vii,#II/bIII,0.6818,Db/C#,bb
91,b,III,I,I,#II/bIII,0.732,Db/C#,bb
91,b,III,viio6,vii,#II/bIII,0.732,Db/C#,bb
92,b,III,I,I,#II/bIII,0.7816,Db/C#,bb
92,b,III,viio,vii,#II/bIII,0.7816,Db/C#,bb
93,b,III,I,I,#II/bIII,0.732,Db/C#,bb
93,b,III,viio],vii,#II/bIII,0.732,Db/C#,bb
94,b,i,i.i[i6,i,i,1.0,bb,bb
94,b,i,.bII6,bII,i,1.0,bb,bb
95,b,i,i6,i,i,0.1967,bb,bb
95,b,i,iio6,ii,i,0.1967,bb,bb
96,b,i,i6],i,vi,1.2676,g,bb
96,b,i,.bII6,bII,vi,1.2676,g,bb
97,b,i,V(64),V,i,0.8015,bb,bb
97,b,i,V,V,i,0.8015,bb,bb
97,b,i,i\\\\,i,i,0.8015,bb,bb
98,b,i,i,i,#V/bVI,0.9859,Gb/F#,bb
98,b,i,iv,iv,#V/bVI,0.9859,Gb/F#,bb
99,b,i,VII,VII,v,1.9475,f,bb
99,b,i,III,III,v,1.9475,f,bb
100,b,i,VI,VI,iv,0.3714,eb/d#,bb
100,b,i,ii6,ii,iv,0.3714,eb/d#,bb
100,b,i,iio64,ii,iv,0.3714,eb/d#,bb
101,b,i,V\\\\,V,V,0.5244,F,bb
102,b,i,VI,VI,iv,0.3714,eb/d#,bb
102,b,i,ii6,ii,iv,0.3714,eb/d#,bb
103,b,i,V,V,V,0.3429,F,bb
104,b,i,VI,VI,iv,0.919,eb/d#,bb
104,b,i,ii6,ii,iv,0.919,eb/d#,bb
105,b,i,V,V,V,1.1228,F,bb
106,b,i,VI,VI,i,0.3619,bb,bb
106,b,i,ii6,ii,i,0.3619,bb,bb
106,b,i,V,V,i,0.3619,bb,bb
107,b,i,i\\\\,i,i,1.2673,bb,bb
